time,open,high,low,close,volume
2026-04-14T23:06:00Z,74180.72,74191.31,74135.02,74152.38,14.92852496
2026-04-14T23:09:00Z,74152.38,74183.56,74079.59,74109.9,28.79549828
2026-04-14T23:12:00Z,74109.9,74158.29,74083.79,74144.02,15.441470970000001
2026-04-14T23:15:00Z,74144.03,74214.0,74138.23,74198.86,21.4554377
2026-04-14T23:18:00Z,74198.57,74262.01,74187.79,74204.26,19.89336547
2026-04-14T23:21:00Z,74204.27,74241.74,74162.01,74167.01,15.389381629999999
2026-04-14T23:24:00Z,74167.48,74167.48,74089.78,74095.74,3.9860846199999997
2026-04-14T23:27:00Z,74095.75,74155.94,74087.07,74152.0,9.564938549999999
2026-04-14T23:30:00Z,74152.01,74233.77,74132.0,74170.12,15.9349816
2026-04-14T23:33:00Z,74170.13,74220.74,74113.99,74143.14,17.70788649
2026-04-14T23:36:00Z,74145.3,74159.46,74078.04,74128.74,14.093632719999999
2026-04-14T23:39:00Z,74128.75,74251.5,74120.53,74189.49,11.416594719999999
2026-04-14T23:42:00Z,74189.35,74223.18,74170.0,74174.79,22.239292159999998
2026-04-14T23:45:00Z,74174.8,74256.0,74174.8,74250.34,9.36621174
2026-04-14T23:48:00Z,74251.49,74275.29,74216.01,74230.26,11.19247696
2026-04-14T23:51:00Z,74230.26,74230.26,74070.97,74117.65,28.275297110000004
2026-04-14T23:54:00Z,74117.64,74171.7,74088.68,74171.7,7.67658784
2026-04-14T23:57:00Z,74171.71,74223.17,74159.83,74179.04,10.529042830000002
2026-04-15T00:00:00Z,74176.09,74354.16,74149.45,74336.48,15.58637552
2026-04-15T00:03:00Z,74336.48,74689.79,74336.47,74689.79,49.88578603
2026-04-15T00:06:00Z,74674.01,74716.75,74605.65,74704.63,24.76564565
2026-04-15T00:09:00Z,74704.63,74726.93,74572.75,74645.73,33.00135759
2026-04-15T00:12:00Z,74645.74,74662.0,74520.99,74595.54,38.66880252
2026-04-15T00:15:00Z,74595.54,74595.55,74487.44,74490.85,15.76925297
2026-04-15T00:18:00Z,74490.85,74534.7,74430.86,74509.93,12.74883155
2026-04-15T00:21:00Z,74509.93,74690.56,74495.53,74601.99,15.936252249999999
2026-04-15T00:24:00Z,74601.99,74647.98,74573.64,74622.31,11.56613564
2026-04-15T00:27:00Z,74622.32,74642.85,74567.41,74628.01,15.5033068
2026-04-15T00:30:00Z,74628.0,74652.32,74520.54,74532.13,17.14181694
2026-04-15T00:33:00Z,74532.12,74605.49,74478.08,74589.24,11.49737718
2026-04-15T00:36:00Z,74589.24,74602.32,74552.01,74574.72,13.717603219999999
2026-04-15T00:39:00Z,74574.72,74621.38,74541.78,74580.38,9.6346086
2026-04-15T00:42:00Z,74580.79,74610.66,74567.57,74587.45,5.0135211
2026-04-15T00:45:00Z,74587.16,74637.35,74509.26,74532.48,10.10675367
2026-04-15T00:48:00Z,74532.47,74574.15,74462.06,74557.25,7.439989219999999
2026-04-15T00:51:00Z,74557.25,74584.25,74513.58,74527.28,12.63790187
